[ ], [ ], [ ], [ ], [ ], [ ], [ ], [ ], [ ];0
----------------------------- mossa n 0 ----------------------------
X, [ ], [ ], [ ], [ ], [ ], [ ], [ ], [ ];0
[ ], X, [ ], [ ], [ ], [ ], [ ], [ ], [ ];0
[ ], [ ], X, [ ], [ ], [ ], [ ], [ ], [ ];0
[ ], [ ], [ ], X, [ ], [ ], [ ], [ ], [ ];0
[ ], [ ], [ ], [ ], X, [ ], [ ], [ ], [ ];0
[ ], [ ], [ ], [ ], [ ], X, [ ], [ ], [ ];0
[ ], [ ], [ ], [ ], [ ], [ ], X, [ ], [ ];0
[ ], [ ], [ ], [ ], [ ], [ ], [ ], X, [ ];0
[ ], [ ], [ ], [ ], [ ], [ ], [ ], [ ], X;0
----------------------------- mossa n 1 ----------------------------
X, O, [ ], [ ], [ ], [ ], [ ], [ ], [ ];0
X, [ ], O, [ ], [ ], [ ], [ ], [ ], [ ];0
X, [ ], [ ], O, [ ], [ ], [ ], [ ], [ ];0
X, [ ], [ ], [ ], O, [ ], [ ], [ ], [ ];0
X, [ ], [ ], [ ], [ ], O, [ ], [ ], [ ];0
X, [ ], [ ], [ ], [ ], [ ], O, [ ], [ ];0
X, [ ], [ ], [ ], [ ], [ ], [ ], O, [ ];0
X, [ ], [ ], [ ], [ ], [ ], [ ], [ ], O;0
O, X, [ ], [ ], [ ], [ ], [ ], [ ], [ ];1
[ ], X, O, [ ], [ ], [ ], [ ], [ ], [ ];1
[ ], X, [ ], O, [ ], [ ], [ ], [ ], [ ];1
[ ], X, [ ], [ ], O, [ ], [ ], [ ], [ ];1
[ ], X, [ ], [ ], [ ], O, [ ], [ ], [ ];1
[ ], X, [ ], [ ], [ ], [ ], O, [ ], [ ];1
[ ], X, [ ], [ ], [ ], [ ], [ ], O, [ ];1
[ ], X, [ ], [ ], [ ], [ ], [ ], [ ], O;1
O, [ ], X, [ ], [ ], [ ], [ ], [ ], [ ];2
